_id,descriptor_id,energy,fermi_level,homo_lumo_gap,lumo,homo,E_1
WSe2_Mo1W63Se125S1_93235c57-6576-4fa4-aa1a-ba6b64ae3fc1,a6fce3ee-729c-49c0-8ce8-8f981617a96b,-1371.91567605,-1.45792538,1.2821,-0.7962,-2.0783,-62.8089
WSe2_Mo1W62Se126S1_7715c4cd-1bd9-40e4-9c40-4c380e87648f,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.83219701,-1.62646886,0.15759999999999996,-1.2471,-1.4047,-63.0011
WSe2_Mo1W63Se125S2_079d261e-deda-4b6e-bcf2-d1e8d02dcccb,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.10860225,-1.43815567,1.2970000000000002,-0.7742,-2.0712,-62.8473
WSe2_Mo1W63Se125_d5102f38-5e65-4281-92ed-899b27baed8b,e16a7c36-f06b-4dc6-875e-2b4f4ef303eb,-1364.64906423,-1.47832923,1.2439999999999998,-0.8445,-2.0885,-62.9022
WSe2_Mo1W63Se125S2_9fcdcc95-b725-4d73-b9ba-a7c25eddaa35,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.13222987,-1.43762931,1.3008,-0.7703,-2.0711,-62.8149
WSe2_Mo1W63Se125S1_496c3ccd-4844-4103-a00d-877cda033baf,a6fce3ee-729c-49c0-8ce8-8f981617a96b,-1371.88705081,-1.46119096,1.2455999999999998,-0.8324,-2.078,-62.8624
WSe2_Mo1W63Se125S3_64fa20b9-0ae7-4735-a32a-2213b3877e56,70a534a8-08dd-407e-a12b-f68750d61bae,-1386.32935308,-1.41657351,1.8255,-0.2428,-2.0683,-62.8241
WSe2_Mo1W62Se126_7bf14c8e-5339-49a5-bfea-51af492a1cd8,ee1b4933-af92-4b7c-b50b-2291de319bbf,-1352.60835818,-1.67122362,0.2277,-1.2603,-1.488,-62.9549
WSe2_Mo1W62Se126S1_c5a4c75a-6e44-41b3-9c36-05ac97c3fa68,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.875967,-1.59986743,0.19419999999999993,-1.2131,-1.4073,-62.8689
WSe2_Mo2W61Se127_99d463c6-1c84-4d1e-8143-fb9dd80ca330,d117d7f3-6b8b-4654-93d7-b4300e437fd5,-1357.21225587,-1.63872823,0.21450000000000014,-1.2321,-1.4466,-62.8795
WSe2_Mo1W62Se126_08f6bc77-d917-4f9a-86c2-ae264c63dd8e,ee1b4933-af92-4b7c-b50b-2291de319bbf,-1352.65432697,-1.62717802,0.16100000000000003,-1.2399,-1.4009,-62.9047
WSe2_Mo1W62Se126_e62c1a50-a22a-4b9d-b528-ec2623d77659,ee1b4933-af92-4b7c-b50b-2291de319bbf,-1352.66155064,-1.62293989,0.20599999999999996,-1.222,-1.428,-62.8997
WSe2_Mo1W62Se126S1_f86b8045-0fe3-4e58-863d-e8f3be9a2a76,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.90497538,-1.60146975,0.1975,-1.2167,-1.4142,-62.8552
WSe2_Mo2W62Se126_1f2deac7-3c4b-43db-92b0-a4ea06e33e55,0df042fc-095a-4683-9bde-781dd282cdad,-1369.18722007,-1.45290569,1.2819999999999998,-0.7899,-2.0719,-62.8611
WSe2_W62Se126S1_b0889205-8d6a-4fd9-9803-f4438e4f7ed6,fc497c6e-fa90-421c-9746-7ec9ec2fd394,-1343.94278456,-1.65507339,0.15589999999999993,-1.2925,-1.4484,-16.6097
WSe2_Mo1W62Se126S2_be1d1998-b54e-40b5-a33d-7f04da91cbb4,09e154da-46b2-418e-9311-a730f1ededad,-1367.00400539,-1.56923642,0.2602,-1.1941,-1.4543,-62.8678
WSe2_Mo2W61Se127S1_72eeb567-ba6e-4d0b-bbf0-afbd2388ad73,636d2e02-9c5e-4763-a158-4a4b8e917fd3,-1364.28419672,-1.55783017,0.27469999999999994,-1.1688,-1.4435,-62.9042
WSe2_Mo1W62Se126S2_71d525e9-d5dd-4391-9e53-8fff28ac320f,09e154da-46b2-418e-9311-a730f1ededad,-1367.07563939,-1.58348753,0.16020000000000012,-1.2145,-1.3747,-62.8367
WSe2_Mo1W61Se127_4c4ff89a-81d3-4dfb-89aa-fffa9cca23c6,8d84dcfd-2146-4e64-bf6a-0641eda9535a,-1341.25390624,-1.64555318,0.14229999999999987,-1.2357,-1.378,-63.0647
WSe2_Mo2W62Se126S1_adeda67c-d771-4d2f-9f92-fd80d2b42782,dbe781f6-a7df-4aa7-9cf6-5ff164fde541,-1376.4184565,-1.42821765,1.3001999999999998,-0.7654,-2.0656,-62.8318
WSe2_Mo1W63Se125S2_1cf48f9a-0fe0-4a31-b09e-926d42188941,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.08952646,-1.42598782,1.2728000000000002,-0.7969,-2.0697,-62.8422
WSe2_W63Se125S2_71a3fd5e-e4d6-4bd4-90db-adfad709f28c,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.50059591,-1.62969086,0.246,-1.1636,-1.4096,-16.5841
WSe2_Mo2W61Se127S1_e321adbb-4a1f-4ff9-8e4a-f1c98b3d026c,636d2e02-9c5e-4763-a158-4a4b8e917fd3,-1364.29887724,-1.55390484,0.25780000000000003,-1.1841,-1.4419,-62.8612
WSe2_W63Se125S1_963f8920-cd06-4579-8a37-c43760324dbd,2205f4e0-cc33-4116-b043-5df842046d6c,-1355.39214878,-1.62762511,0.20099999999999985,-1.2254,-1.4264,-16.5852
WSe2_W64Se124S1_171ff254-b0c7-44f7-bc80-5fdb24105b50,5803d5c9-bc95-4481-bf15-f778c5802789,-1367.33220319,-1.6011878,1.2115999999999998,-0.887,-2.0986,-16.5606
WSe2_Mo2W62Se126_c865a77e-2d69-4604-af74-0b46881ed57f,0df042fc-095a-4683-9bde-781dd282cdad,-1369.16250184,-1.44752056,1.181,-0.8759,-2.0569,-62.858
WSe2_W63Se125S2_5255480a-6c3b-4703-8de6-746a10859155,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.57521226,-1.6153006,0.19779999999999998,-1.2237,-1.4215,-16.5828
WSe2_W64Se124S3_891afc43-9c80-47d9-b5ad-f536ad4d8a5d,df44b129-3e7f-4e42-ac22-d81986c0bedb,-1381.79829619,-1.5646978,1.3026999999999997,-0.7799,-2.0826,-16.5583
WSe2_W63Se125S1_3b0ac040-9ad7-4ae9-815f-f473c587ebe2,2205f4e0-cc33-4116-b043-5df842046d6c,-1355.97145034,-1.68534518,0.19740000000000002,-1.2957,-1.4931,-16.5871
WSe2_Mo1W62Se126S1_a0c04e94-6af7-4658-bac9-94fdae9e8eaf,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1361.54900666,-1.58612403,0.6478,-0.7696,-1.4174,-62.8128
WSe2_Mo1W62Se126S2_5ff7dca7-8d24-4f56-84be-778b662bc675,09e154da-46b2-418e-9311-a730f1ededad,-1366.99829065,-1.56478199,0.26570000000000005,-1.1874,-1.4531,-62.8654
WSe2_Mo1W62Se126S1_66294014-d05d-4e9d-9c23-e6d5d4d892fa,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.86275505,-1.6028907,0.18500000000000005,-1.2142,-1.3992,-62.902
WSe2_W64Se124S2_67285ccb-5506-4b47-8fd8-aed8ea9a67f7,d6e04913-a72a-4881-bee3-c5c7d4dfd77e,-1374.54813447,-1.58492409,1.259,-0.8313,-2.0903,-16.5617
WSe2_W63Se125S1_bf3b8cd0-0368-43c0-9575-99a150391a4b,2205f4e0-cc33-4116-b043-5df842046d6c,-1355.43111905,-1.63169145,0.21060000000000012,-1.2203,-1.4309,-16.5838
WSe2_Mo1W62Se126S2_00cb3b2c-3f52-416f-bef9-48331be7efd0,09e154da-46b2-418e-9311-a730f1ededad,-1367.08632009,-1.5907424,0.19090000000000007,-1.2065,-1.3974,-62.858
WSe2_Mo1W62Se126S2_f4e0676c-7e91-402d-b3fe-8e97cd8609a8,09e154da-46b2-418e-9311-a730f1ededad,-1367.07489262,-1.58293962,0.19019999999999992,-1.2058,-1.396,-62.8564
WSe2_W63Se125S2_e2aa515d-c4e9-4f6c-9cb4-5511495ce255,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.48252908,-1.5941692,0.272,-1.2086,-1.4806,-16.5869
WSe2_Mo2W62Se126S2_664072ae-f494-4929-a757-a91a28a97392,905d0698-6a82-4009-9299-a2d3cbc0756e,-1383.62981778,-1.40374428,1.8021,-0.2568,-2.0589,-62.8222
WSe2_W64Se124_0bab39aa-e456-4527-9508-fc1ae0fdc23b,ef76dd17-ac3e-454e-9a4c-08386cd06712,-1360.14426505,-1.6203545,1.0950000000000002,-1.0088,-2.1038,-16.5635
WSe2_Mo1W62Se126_c5f9aae2-ab09-4a3f-b074-cc80d83ef03a,ee1b4933-af92-4b7c-b50b-2291de319bbf,-1352.6391019,-1.61993056,0.1997,-1.2271,-1.4268,-62.8783
WSe2_W64Se124S3_d62cdf05-528d-4cbf-91f8-01330885f390,df44b129-3e7f-4e42-ac22-d81986c0bedb,-1381.79077377,-1.56541882,1.2972,-0.7827,-2.0799,-16.5584
WSe2_Mo2W61Se127_1e518fcb-ab48-4355-ace1-f4ff124387e3,d117d7f3-6b8b-4654-93d7-b4300e437fd5,-1357.14282974,-1.61372882,0.1722999999999999,-1.2252,-1.3975,-62.9705
WSe2_Mo1W63Se125S2_fda8d84c-9d80-4119-b707-77653ca1bb6b,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.100209,-1.44036879,1.3027,-0.7699,-2.0726,-62.8478
WSe2_Mo1W62Se126_b960f73b-2596-42f0-be48-e5402a92745c,ee1b4933-af92-4b7c-b50b-2291de319bbf,-1352.69784851,-1.62547852,0.21440000000000015,-1.2183,-1.4327,-62.8867
WSe2_W63Se125S2_dad3c43e-bc56-47c6-815e-0739d473cb84,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1363.15308234,-1.67473165,0.23160000000000003,-1.2495,-1.4811,-16.5826
WSe2_Mo1W62Se126S1_77283725-5e54-4185-8d13-7e55fca05987,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.87846232,-1.60797509,0.20090000000000008,-1.2175,-1.4184,-62.8665
WSe2_Mo1W62Se126S2_c831ead3-e0d3-49dd-98c7-f678c5d9155e,09e154da-46b2-418e-9311-a730f1ededad,-1367.03451757,-1.5865897,0.15670000000000006,-1.2175,-1.3742,-62.8554
WSe2_Mo1W62Se126S1_0bdb4b22-db1a-4260-a645-4e6399706179,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.87097746,-1.59725846,0.18910000000000005,-1.2083,-1.3974,-62.8868
WSe2_Mo1W63Se125S1_47f59780-268f-4313-a9e3-febaff727953,a6fce3ee-729c-49c0-8ce8-8f981617a96b,-1371.88568672,-1.45578928,1.2805,-0.8011,-2.0816,-62.8179
WSe2_Mo2W62Se126S1_ad37643c-480e-48f8-8161-c621aa3e5893,dbe781f6-a7df-4aa7-9cf6-5ff164fde541,-1376.41596918,-1.42395112,1.2998,-0.7646,-2.0644,-62.8407
WSe2_W64Se124S3_4be93044-153b-49ad-9ea4-813be88303e3,df44b129-3e7f-4e42-ac22-d81986c0bedb,-1381.79894537,-1.56861024,1.2953999999999999,-0.7833,-2.0787,-16.5582
WSe2_W64Se124S4_737a3f84-4db4-459b-875a-20f0cde400dc,50580d78-be71-4763-99c5-738db16279e7,-1389.02131355,-1.55113357,1.8552000000000002,-0.2221,-2.0773,-16.5564
WSe2_Mo2W62Se126S1_3094e8c4-7be3-476b-a9cf-ab54758fae3f,dbe781f6-a7df-4aa7-9cf6-5ff164fde541,-1376.4437097,-1.4290744,1.2999999999999998,-0.7643,-2.0643,-62.8358
WSe2_W63Se125S2_55600415-0595-4f06-b659-7bd0c4caf369,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.62234851,-1.6138345,0.2128000000000001,-1.2046,-1.4174,-16.5851
WSe2_W63Se125S2_c28b1373-6bb7-4eec-a401-e529418a0012,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1364.23719866,-1.59459826,0.6567,-0.7671,-1.4238,-16.585
WSe2_Mo1W62Se126S1_fa8268b1-a628-4aee-91bf-516365ccd79f,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.87079518,-1.59605864,0.19579999999999997,-1.21,-1.4058,-62.8762
WSe2_Mo1W62Se126S1_5778d1c2-a880-49b3-a5f8-06a18865e760,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.91470033,-1.60651103,0.19179999999999997,-1.2195,-1.4113,-62.8058
WSe2_Mo1W61Se127_944e2488-a27c-497b-a072-1a6d212aa1f5,8d84dcfd-2146-4e64-bf6a-0641eda9535a,-1341.26856576,-1.59291547,0.16569999999999996,-1.2101,-1.3758,-63.1889
WSe2_W64Se124S3_0c2967fa-2204-4969-8ab3-f0c535de7dd3,df44b129-3e7f-4e42-ac22-d81986c0bedb,-1381.80018831,-1.56353287,1.2997999999999998,-0.7822,-2.082,-16.5572
WSe2_W64Se124S3_97d34412-06de-4806-9307-f0fba945ffa8,df44b129-3e7f-4e42-ac22-d81986c0bedb,-1381.78178807,-1.56285179,1.2745000000000002,-0.8068,-2.0813,-16.5584
WSe2_W62Se126_fe433eb7-fdf9-43ec-9c95-cee110d5abd5,dd4ae284-13e1-4df6-9e36-e012682d1d73,-1338.54908645,-1.64680414,0.07160000000000011,-1.3454,-1.417,-16.6563
WSe2_W63Se125S3_07f4b1b3-7907-4668-b24b-7c03cda4529a,c2e0ba0e-4ff3-40e0-9f1b-031795ad6e7f,-1369.62613037,-1.59209228,0.2827000000000002,-1.1622,-1.4449,-16.5836
WSe2_Mo1W63Se125S2_2935fbcb-a582-4c0e-b387-683d5d7cb998,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.11044391,-1.43589776,1.3012000000000001,-0.7725,-2.0737,-62.849
WSe2_W62Se126S1_b5182027-40b4-4c71-86dc-87987b262718,fc497c6e-fa90-421c-9746-7ec9ec2fd394,-1344.97985213,-1.63714411,0.17799999999999994,-1.2491,-1.4271,-16.6067
WSe2_Mo1W63Se125S2_558eb86b-b748-4320-86ba-5750c680556b,f58a2030-3441-4db8-90d9-15b9fb7d22ed,-1379.11882563,-1.43226272,1.2978,-0.7731,-2.0709,-62.852
WSe2_Mo2W61Se127S1_50e3edc0-44d9-4519-9cc3-17fe6948ca87,636d2e02-9c5e-4763-a158-4a4b8e917fd3,-1364.3177874,-1.55840965,0.254,-1.187,-1.441,-62.8545
WSe2_Mo3W61Se127S1_cdc45e2e-7318-43f9-b458-d9989a83164c,93b97e9c-6984-43a6-9d8e-de47731351a8,-1380.94135916,-1.40430814,1.7994,-0.2547,-2.0541,-62.8114
WSe2_Mo1W63Se125S1_d2dd0a82-56c9-4538-93fd-aaa6e54ee265,a6fce3ee-729c-49c0-8ce8-8f981617a96b,-1371.83239605,-1.45849089,1.1854999999999998,-0.883,-2.0685,-62.8524
WSe2_Mo1W62Se126_b75007b2-f701-47d4-876a-1e09f39984ea,ee1b4933-af92-4b7c-b50b-2291de319bbf,-1352.55126209,-1.61977507,0.18809999999999993,-1.2332,-1.4213,-62.8965
WSe2_Mo1W63Se125S1_dc30c7ec-a125-4d0c-a26b-58b309dd0208,a6fce3ee-729c-49c0-8ce8-8f981617a96b,-1371.97288739,-1.45827696,1.2766000000000002,-0.8041,-2.0807,-62.8629
WSe2_Mo1W62Se126S1_9adc5d48-1626-47b9-9be1-a19c8a753045,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.76212313,-1.57669182,0.2568999999999999,-1.2008,-1.4577,-62.8805
WSe2_Mo1W63Se125S1_d6ed0bc1-b5c1-49d7-9dd8-dac8b303896a,a6fce3ee-729c-49c0-8ce8-8f981617a96b,-1371.87872263,-1.45836105,1.2812000000000001,-0.8026,-2.0838,-62.8534
WSe2_W63Se125S2_6ab3a8ff-244a-47c2-ab8e-83cb737887a3,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.6297464,-1.61978673,0.19109999999999983,-1.2108,-1.4019,-16.5833
WSe2_W63Se125S2_ab39feb6-38c5-4556-934a-c76ef26ce1e2,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.55243423,-1.62027213,0.17039999999999988,-1.2334,-1.4038,-16.5823
WSe2_W63Se125S2_35ee6a33-bb52-404c-a538-f9844ae08e25,8f76322f-7f85-4143-b4a0-b2d32d6efb78,-1362.5672561,-1.61727493,0.19500000000000006,-1.2261,-1.4211,-16.5837
WSe2_W64Se124S3_5768e6f8-6d3d-4785-a1bd-79dd548c43c6,df44b129-3e7f-4e42-ac22-d81986c0bedb,-1381.80469945,-1.56323511,1.3028,-0.7784,-2.0812,-16.5582
WSe2_Mo1W62Se126S1_32116249-a968-426f-bdc1-3513e1ad2d28,d86937b2-4a42-46eb-bb12-fa31076dd84a,-1359.88228586,-1.64505916,0.2157,-1.2382,-1.4539,-62.887
WSe2_Mo1W63Se125S1_b359b71b-7d34-44d8-bc62-f2501e8b4afb,a6fce3ee-729c-49c0-8ce8-8f981617a96b,-1371.88658879,-1.46375545,1.2606,-0.8183,-2.0789,-62.863
WSe2_Mo1W63Se125_93d8fb56-9d8d-42e3-9da7-6aa718d3b217,e16a7c36-f06b-4dc6-875e-2b4f4ef303eb,-1364.61631482,-1.48597702,1.2008,-0.8882,-2.089,-62.8846
WSe2_W64Se124S1_7e085f60-9a94-43b5-bf3a-8eb4faba2734,5803d5c9-bc95-4481-bf15-f778c5802789,-1367.29933281,-1.60534885,1.1919000000000002,-0.9016,-2.0935,-16.5644
WSe2_Mo2W61Se127_5f327c39-ef8e-41d3-afc2-a4f9120c715b,d117d7f3-6b8b-4654-93d7-b4300e437fd5,-1357.2054698,-1.59725975,0.1986000000000001,-1.2057,-1.4043,-62.8622
WSe2_W64Se124S2_6f7731fe-5cd6-4c46-87ac-2540b47bcc49,d6e04913-a72a-4881-bee3-c5c7d4dfd77e,-1374.66003397,-1.58427196,1.2939000000000003,-0.7975,-2.0914,-16.5602
WSe2_W64Se124S3_cdf5fd30-a162-48dc-bd1f-09515da09f8d,df44b129-3e7f-4e42-ac22-d81986c0bedb,-1381.81383662,-1.56894254,1.3055,-0.7741,-2.0796,-16.5577
WSe2_W64Se124S1_19aab0f9-ccc2-4a63-855e-036aea4701a4,5803d5c9-bc95-4481-bf15-f778c5802789,-1367.33288491,-1.59526092,1.1280999999999999,-0.9642,-2.0923,-16.5627
WSe2_Mo2W62Se126S2_28d45ad8-4aa7-42a3-b4be-229f010bf92b,905d0698-6a82-4009-9299-a2d3cbc0756e,-1383.63914262,-1.4113485,1.8114000000000001,-0.248,-2.0594,-62.8198
WSe2_Mo1W62Se121S4_ffbfe3d3-c6d6-4e7c-a5fc-3513f28f968e,4bb13c28-ac65-4699-b64b-384fa04e7ebf,-1350.43791201,-1.66375345,0.28490000000000015,-1.1819,-1.4668,-62.8979
WSe2_Mo1W61Se122S4_ab999f9d-ae59-4b62-9144-651a7b7591e4,a5403af8-f45f-49d4-85ce-c2bac5cf599c,-1338.58537636,-1.69630422,0.1746000000000001,-1.2825,-1.4571,-63.0073
WSe2_Mo1W61Se122S3_aa5500c7-4e65-4e3a-a1eb-d78668d36d98,b62a50e4-82de-4b66-965b-d4119805b5cd,-1332.05656563,-1.71813649,0.1504000000000001,-1.3527,-1.5031,-62.9659
WSe2_Mo4W60Se123S2_5a34e986-8c57-4547-ac49-bb1b746514a4,c154f8da-9710-49a4-8522-584340b47456,-1361.48645647,-1.67184419,0.7833999999999999,-1.2807,-2.0641,-62.8883
WSe2_W60Se123S2_1cea6001-037a-48b2-8609-856b51869648,ef5e89dc-76db-4e46-96ab-61c06b831bb7,-1298.17504236,-1.79339619,0.12240000000000006,-1.4374,-1.5598,-16.8381
WSe2_Mo1W61Se122S5_09636f41-a5b4-4e0c-b457-9ba28a17a6fe,29bd892f-8e13-435e-892d-56dae87ab3b5,-1346.26917511,-1.69605592,0.1068,-1.3191,-1.4259,-62.932
WSe2_Mo1W62Se121S5_244d1366-9604-4442-8314-5a62c238e560,d4be4707-25dc-402d-b0cc-54e1b6839dfc,-1357.6934809,-1.69549172,0.22880000000000011,-1.2526,-1.4814,-62.9869
WSe2_W63Se120S5_819b9635-6935-4741-88f3-e6cc02ce1d0b,a83fe65f-e8fb-461c-8883-f79cf9457aa7,-1353.26119891,-1.69094747,0.1764000000000001,-1.2744,-1.4508,-16.5985
WSe2_Mo1W61Se122S4_9bfa3ae8-b236-4e0e-93e6-5d7e0936c30d,a5403af8-f45f-49d4-85ce-c2bac5cf599c,-1340.20598931,-1.67719395,0.1488999999999998,-1.2974,-1.4463,-62.874
WSe2_W62Se121S5_0aa834ee-5422-4baf-8452-27e90d895e13,19ba3323-7108-4941-9262-6bd26be88c91,-1342.27144762,-1.64124166,0.21040000000000014,-1.1784,-1.3888,-16.6378
WSe2_Mo1W61Se122S4_58b34b8f-07e3-42c7-bdea-8c354a41008a,a5403af8-f45f-49d4-85ce-c2bac5cf599c,-1338.38097023,-1.71386773,0.17480000000000007,-1.3027,-1.4775,-62.8935
WSe2_Mo2W61Se122S1_b334320d-5880-4345-80b8-500f4a0c3644,20f79780-8ecf-4f55-871a-0f02c6af0a43,-1333.7834021,-1.78253373,0.21960000000000002,-1.3774,-1.597,-63.008
WSe2_Mo1W63Se120S2_6c9922df-9eba-49ec-853a-c9d9e6633daa,fb120968-752a-40e8-b312-9a799e7bdf06,-1348.16359259,-1.67074775,1.0182999999999998,-1.1329,-2.1512,-62.8644
WSe2_Mo1W62Se121S4_db77a9bf-b34b-4a8d-9530-aae4701bcde7,4bb13c28-ac65-4699-b64b-384fa04e7ebf,-1350.53619522,-1.6564564,0.16710000000000003,-1.26,-1.4271,-62.9733
WSe2_Mo3W59Se124S1_3d625b9b-fc04-465a-b15f-bd09f1d58143,7134948a-7bae-4bb9-80bc-2dd111f10c06,-1327.05177322,-1.74803209,0.15070000000000006,-1.3455,-1.4962,-62.926
WSe2_W62Se121S3_e9183e7d-352f-411c-ade0-3693619c6957,38380132-e778-48c1-96e6-529bbfe6fed8,-1331.25996957,-1.71067141,0.3912,-1.0482,-1.4394,-16.6472
WSe2_W62Se121S5_760a631a-eb38-4309-93fa-f493bfe4c23f,19ba3323-7108-4941-9262-6bd26be88c91,-1341.56205014,-1.71027353,0.14969999999999994,-1.3503,-1.5,-16.6181
WSe2_W61Se122S3_ccc31cee-938b-4be4-9cb0-fdec3fd9573b,bcdb2a78-9d51-4378-9679-cbedb02bd372,-1317.45458589,-1.74380708,0.17369999999999997,-1.3448,-1.5185,-16.6488
WSe2_Mo2W62Se121S2_73395af5-adac-4a55-92ae-6897df5ff344,6c6bef5e-d609-4715-a6c2-550aafce4b49,-1352.94133164,-1.54021143,1.1374000000000002,-0.9877,-2.1251,-62.8816
WSe2_Mo4W56Se127_c2a8fd00-9892-4b56-93d3-c6b79bb5817b,d21b26f9-4c26-429a-8ece-63b6b1c11eba,-1300.66780739,-1.7087753,0.021299999999999875,-1.4307,-1.452,-62.9554
WSe2_Mo1W62Se121S2_ffc1c6df-27dc-4774-a15f-76feec11940c,57c8db98-12da-4d42-98d5-fcf0f158ca6c,-1336.23700505,-1.72048869,0.22130000000000005,-1.2567,-1.478,-62.9729
WSe2_Mo4W58Se125S2_bba73413-5f87-4246-bd1f-3fb81536cb1d,e358a137-c379-4676-a8d8-b74239605f87,-1337.67041271,-1.66484241,0.1360999999999999,-1.2855,-1.4216,-63.0018
WSe2_Mo1W60Se123S1_41c5c100-fae4-4d3b-85fc-52bc39bbc36a,0c1a2471-6747-4eee-b951-08925a035ccc,-1307.60511646,-1.75419745,0.1068,-1.4012,-1.508,-62.9102
WSe2_Mo1W61Se122S2_20ff8c11-5021-4879-a2cf-637c094bd831,dc15d28a-ec55-4136-9c49-86f352639c79,-1324.51014483,-1.72630471,0.09370000000000012,-1.3776,-1.4713,-62.9663
WSe2_Mo1W62Se121S3_5f8599af-d702-4d7a-9301-83264c54a91f,1ec3ccb1-f87b-4f0e-9e49-6d904d4559f9,-1343.99219506,-1.70626319,0.2064999999999999,-1.3004,-1.5069,-62.9143
WSe2_Mo3W60Se123S1_fd95d02b-84a6-40be-a4f9-51aee7740ba9,563a0234-d15a-47be-940a-f6e873941ff2,-1339.93307621,-1.67694381,0.4603999999999999,-1.0438,-1.5042,-62.9189
